Date,Season,Days,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
1/1/2015,1,4,7119,5661,4026,3253,1972,1613,1991,2049,2607,3644,4795,5786,6719,7100,7313,7849,7872,7301,6860,6172,5225,4352,4006,3150
1/2/2015,1,5,2294,1720,1241,1240,1534,3276,5289,5928,6102,6585,7384,7871,8680,9150,9373,9861,9978,9518,8196,7157,5668,5105,4689,3966
1/3/2015,1,6,2834,2111,1817,1584,1368,1881,2848,3287,4448,5779,6888,7372,8340,9257,9054,8616,8246,8391,7985,6969,6044,5066,4603,4149
1/4/2015,1,7,3203,2356,1904,1559,993,1316,2127,2636,3383,4930,6710,7022,7306,9730,8737,8572,8078,8015,7357,6551,5635,4399,3524,2840
1/5/2015,1,1,1926,1205,968,1079,1879,4933,7925,9598,8655,7446,7354,7600,8056,8769,9550,10965,12097,12108,9635,7315,5699,4634,3843,2843
1/6/2015,1,2,1817,1262,1078,1125,1793,4828,7954,10044,9302,7851,7086,7479,7966,8483,9345,11236,12499,12467,9713,7277,5711,4775,3771,2869
1/7/2015,1,3,1829,1260,1096,1087,1732,4769,8378,9933,9419,8061,7511,7633,8077,8354,9464,10969,12374,12479,9718,6914,5447,4240,3986,2782
1/8/2015,1,4,1671,1116,905,974,1652,4492,7817,9209,8980,7808,7154,7103,7784,8312,9532,10866,12323,12403,9912,7369,5776,4742,4023,2937
1/9/2015,1,5,1923,1370,1052,1137,1652,4434,7807,10120,9154,8183,7848,8105,8969,9500,10519,11740,12889,12465,10237,8254,6955,5791,5174,4221
1/10/2015,1,6,2980,2228,1840,1508,1274,1976,2918,4126,5257,6711,7051,7876,8485,8759,9270,8435,8058,8291,7818,7149,6256,5874,5876,4348
1/11/2015,1,7,3109,2356,1981,1519,1028,1214,2114,2857,3723,5231,6882,6633,7645,9230,8410,7868,7790,7724,7291,5978,5153,3996,3545,2471
1/12/2015,1,1,1675,954,833,881,1811,4749,8063,10073,9369,7572,7222,7241,7836,8142,9056,10716,11950,12009,9154,6816,5352,3965,3509,2555
1/13/2015,1,2,1979,1294,1008,1035,1732,4842,8489,10431,9439,7854,7228,7292,7897,8419,9084,10731,12128,12035,9088,7023,5611,4738,3859,2662
1/14/2015,1,3,1699,1259,1020,1052,1865,4862,8218,10126,9431,8085,7063,7651,8114,8295,9413,11006,12241,12603,9777,7315,6085,4742,4126,2866
1/15/2015,1,4,1864,1361,1071,1174,1791,4731,8275,10544,9689,8090,7658,7736,8295,8600,9796,10560,12138,11999,9959,7433,6486,5450,4485,3329
1/16/2015,1,5,2087,1556,1312,1307,1747,3403,5631,8068,8977,8201,8011,8441,9605,10038,11058,12277,12525,12800,10970,9237,7804,6426,5681,4914
1/17/2015,1,6,3712,2773,2258,1865,1519,2060,3331,4511,5625,6600,6878,7021,7840,7983,7405,7550,7412,6909,7422,6668,6193,5585,5405,4704
1/18/2015,1,7,3635,2826,2422,1878,1230,1322,2206,3083,4136,5565,6521,6484,6968,7682,7555,6914,6420,6163,6413,6089,5088,4932,4518,3261
1/19/2015,1,1,2266,1517,1282,1207,1728,3769,5503,5426,5603,6115,6630,7278,8301,8718,9129,9652,9866,9896,8582,7091,5656,4566,3703,2712
1/20/2015,1,2,1742,1202,1004,1139,1899,4993,8292,10028,9589,8093,7595,7695,8412,8625,9596,11053,12278,12401,10001,7586,5986,4612,3919,2913
1/21/2015,1,3,1835,1239,1017,1149,1884,4882,8444,9989,9400,8654,7575,7801,8077,8745,9558,11163,12312,12687,10291,7777,6422,5006,4437,3105
1/22/2015,1,4,1857,1305,1039,1086,1943,4913,8322,10245,9725,8884,7935,7706,8144,8713,10199,11625,12723,13064,10297,7694,6331,5313,4411,3181
1/23/2015,1,5,1960,1428,1134,1224,1788,4148,7361,9126,8486,7856,7363,8036,8849,9180,10300,11868,12502,12138,10307,8411,6701,5832,5747,4294
1/24/2015,1,6,3095,2221,1948,1557,1400,2089,3186,4312,5672,6747,6990,7420,7584,7979,7787,7538,7215,6932,7190,6587,6292,5595,4858,4607
1/25/2015,1,7,3513,2532,2290,1859,1316,1686,2449,3014,3874,5814,6470,6209,6749,7550,7238,7246,6856,6807,6682,6079,5444,4612,3684,2684
1/26/2015,1,1,1838,1103,892,1076,1855,4939,8174,10255,9218,7725,7000,7308,7737,8467,9453,10599,12257,12515,9080,6685,5239,4354,3598,2592
1/27/2015,1,2,1724,1081,929,1003,1838,4772,8158,10640,9285,8211,7655,7709,8240,8253,9610,10883,12280,12253,9633,7448,5903,4882,3814,2818
